Year,Month,Day,AL,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
2015,1,1,0,0.281315021949606,0.342815217391304,0,0.190301403093473,0.198581439393939,0.28187478806375,0,0.409895833333333,0.605928930088837,0.245747676674837,0.381516223902786,0,0,0.458283045977012,0.720327932098765,0,0,0,0,0,0,0,0.513441073919107,0.0190564373897707,0.234460669128343,0.24851133278515,0.243637956278136,0.284312962551807,0.337795979740424,0.271760875588806,0,0
2015,1,2,0,0.277933880570088,0.353778985507246,0,0.204398199545005,0.205988636363636,0.278474403399458,0,0.2078125,0.649985515643105,0.270775250204248,0.402345517419688,0,0,0.36610632183908,0.732098765432099,0,0,0,0,0,0,0,0.525547594142259,0.467926587301587,0.357754279959718,0.272870093389281,0.121818978139068,0.279872646833359,0.349569484013929,0.263540454419507,0,0
2015,1,3,0,0.327345300378856,0.35568115942029,0,0.201817859393708,0.107572916666667,0.324177342955239,0,0.375,0.600738702201622,0.292226179534314,0.392480285695818,0,0,0.351145833333333,0.737743055555555,0,0,0,0,0,0,0,0.54230910041841,0.490961199294533,0.303804408638246,0.226395142908209,0.0609094890695339,0.28306183355712,0.30471747388414,0.294590260459961,0,0
2015,1,4,0,0.459825455529497,0.303666666666667,0,0.191044767949307,0.227570075757576,0.438982176161411,0,0.375,0.588089030513712,0.325388071895425,0.440247075172904,0,0,0.358668582375479,0.738598572530864,0,0,0.115234375,0,0,0,0,0.518028591352859,0.537083333333333,0.267112845473873,0.323302243948074,0.0304547445347669,0.262211854885334,0.340557138334916,0.339543848711555,0,0
2015,1,5,0,0.47989882133622,0.315333333333333,0,0.0955223839746534,0.212086174242424,0.396561493302815,0,0.401041666666667,0.625458671301661,0.489382786968954,0.545217665309288,0,0,0.402999281609195,0.721459297839506,0,0,0.339192708333333,0,0,0,0,0.510476813110181,0.559732142857143,0.383210249524449,0.204278953031268,0.0152273722673835,0.142156481275903,0.343254985754986,0.45070587420338,0,0.465345821325648
2015,1,6,0,0.473616874135546,0.327695652173913,0,0.102384940986461,0.213026515151515,0.372967239954222,0,0.6375,0.593134414831981,0.435778569240196,0.54903933165277,0,0,0.402133620689655,0.712053433641975,0,0,0.353515625,0,0,0,0,0.517361576011158,0.537260802469136,0.345317220543807,0.373734394506866,0.00761368613369173,0.139936323416679,0.351650838873061,0.454337073981712,0,0.500240153698367
2015,1,7,0,0.442931775813338,0.353474637681159,0,0.101001850303833,0.203611742424242,0.365870236732791,0,0.6390625,0.605011587485516,0.447364557802288,0.535558464223386,0,0,0.370427442528736,0.716284722222222,0,0,0.372721354166667,0,0,0,0,0.520770048814505,0.47775462962963,0.475847599865727,0.429877028714107,0.00380684306684587,0.14153091677856,0.362352010129788,0.438201371571072,0,0.438052353506244
2015,1,8,0,0.406751007276445,0.330177536231884,0,0.0955688442781431,0.206958333333333,0.367576456002035,0,0.6375,0.551129779837775,0.384018841911765,0.495055264688773,0,0,0.343390804597701,0.719959490740741,0,0,0.46484375,0,0,0,0,0.53802510460251,0.423293650793651,0.431165379881392,0.446500156054931,0.00190342153342293,0.131105927442667,0.34332344096233,0.421810404544195,0,0.481376080691643
2015,1,9,0,0.428685579409465,0.251474637681159,0,0.0477844221390715,0.0969981060606061,0.379525395261106,0,0.6375,0.558347817690228,0.470453814338235,0.486446415874863,0,0,0.327489224137931,0.730784143518518,0,0,0.302083333333333,0,0,0,0,0.537568514644352,0.472514329805996,0.359185129237999,0.363901373283396,0.000951710766711467,0.100537044575503,0.347789648622982,0.379432668329177,0,0.509077809798271
2015,1,10,0,0.524762463166757,0.256144927536232,0,0.0512040855691029,0.0848465909090909,0.460964548363852,0,0.6375,0.516367323290846,0.389348447712418,0.425711815655097,0,0,0.329051724137931,0.731937692901235,0,0,0.3037109375,0,0,0,0,0.52922489539749,0.524917328042328,0.272851628063108,0.370276217228464,0.000475855383355733,0.0856512514823917,0.348207898069009,0.506531241341092,0,0.459005763688761
2015,1,11,0,0.515599254314751,0.254061594202899,0,0.0505067326898528,0.193960227272727,0.446376261020685,0,0.6375,0.497489378138277,0.426517437704248,0.413996348005947,0,0,0.341433189655172,0.677529899691358,0,0,0.3046875,0,0,0,0,0.514648884239889,0.583643077601411,0.188641322591474,0.411946004993758,0.000237927691677867,0.0756021076018626,0.366037907565685,0.77446314768634,0,0.482949087415946
2015,1,12,0,0.550647212700704,0.283916666666667,0,0.0477873259080396,0.181525568181818,0.410178715242455,0,0.639583333333333,0.53102066434917,0.554439593545752,0.490320599831944,0,0,0.392280890804598,0.705210262345679,0,0,0.466145833333333,0,0,0,0,0.522776673640167,0.643255070546737,0.315533736153072,0.537973002496879,0.000118963845838933,0.0555706139604192,0.437361506805951,0.77229114713217,0,0.487836215177714
2015,1,13,0,0.555714414576944,0.318155797101449,0,0.0238936629540198,0.184743371212121,0.298477988654346,0,0.602604166666667,0.54089416763229,0.477309283088235,0.507106037101674,0,0,0.459191810344828,0.695042438271605,0,0,0.4404296875,0,0,0,0,0.511875523012552,0.662035934744268,0.25254279959718,0.641084425717853,5.94819229194667e-05,0.0452773474072945,0.403434631212409,0.623257134940427,0,0.499459654178674
